PERSON_,Wt,Ht,Age,Sex,Waist,Finger,HandBreadth,HeadCirc,HipBreadth
Person #28065,411,1532,158,1,625,61,76,552,275
Person #28068,271,1302,119,1,544,52,68,522,226
Person #28071,358,1443,129,1,617,60,70,546,258
Person #28074,295,1442,131,1,550,62,70,531,258
Person #29005,618,1566,155,1,879,66,84,533,335
Person #29008,448,1378,137,1,739,59,75,551,294
Person #29011,297,1327,108,1,560,61,67,528,263
Person #29014,270,1296,98,1,524,55,65,510,241
Person #29020,413,1512,167,1,645,62,71,507,293
Person #29023,708,1644,175,1,863,70,88,542,359
Person #29026,278,1406,143,1,530,52,64,516,226
Person #29041,461,1529,155,1,664,64,80,544,288
Person #29044,600,1603,140,1,781,69,84,528,337
Person #29057,395,1570,142,2,614,67,73,515,292
Person #29063,387,1580,168,2,574,66,68,546,286
Person #29066,485,1661,173,2,688,69,79,526,320
Person #29072,506,1553,159,1,721,61,78,565,305
Person #29075,406,1470,155,1,618,66,76,540,265
Person #29077,516,1604,152,1,691,71,81,555,299
Person #30001,364,1470,113,1,689,56,67,543,272
Person #30004,409,1407,132,1,692,53,73,566,265
Person #30007,350,1431,142,1,599,64,72,524,257
Person #30010,643,1647,171,2,744,65,74,554,389
Person #30013,355,1456,143,2,594,62,72,532,268
Person #30016,432,1524,130,2,673,67,73,545,311
Person #30019,302,1387,122,2,593,51,67,545,246
Person #30026,483,1451,138,2,744,65,70,521,332
Person #30029,306,1422,116,2,561,62,67,524,250
Person #3003,280,1291,98,2,562,57,63,520,242
Person #30032,335,1440,124,1,595,57,75,541,254
Person #30035,338,1352,119,1,626,64,69,522,271
Person #30038,324,1402,116,1,581,61,72,542,260
Person #3009,225,1400,100,1,520,60,63,549,225
Person #3017,235,1223,91,1,502,48,61,521,224
Person #3024,244,1285,104,1,538,57,67,517,223
Person #3028,384,1412,115,1,636,55,63,521,268
Person #3031,208,1197,90,1,504,47,59,504,203
Person #3037,288,1356,102,1,566,58,71,527,235
Person #3045,257,1343,104,2,529,57,59,509,254
Person #3052,240,1258,89,2,531,54,64,527,225
Person #31041,402,1487,176,1,616,63,80,524,272
Person #31044,552,1668,176,1,686,70,85,562,310
Person #31052,557,1603,159,2,720,75,78,540,351
Person #31055,451,1472,144,1,657,64,74,529,300
Person #31058,391,1387,152,1,660,55,75,520,269
Person #31061,381,1414,145,1,691,59,66,521,271
Person #31064,416,1378,139,1,735,57,72,504,277
Person #31067,270,1349,120,1,545,56,65,525,218
Person #31071,311,1426,122,2,577,61,68,539,260
Person #31074,322,1323,111,2,609,58,70,509,257
Person #31077,423,1445,120,2,710,63,69,524,305
Person #32001,556,1559,174,2,725,70,83,581,341
Person #32005,373,1533,167,1,604,60,72,535,263
Person #32008,277,1312,107,1,514,53,62,518,220
Person #32011,575,1718,165,1,734,74,85,582,306
Person #32014,352,1506,142,1,594,62,72,523,262
Person #32017,487,1578,148,1,738,68,82,575,315
Person #32019,449,1485,126,1,747,62,70,555,308
Person #32025,324,1442,138,1,584,63,67,522,252
Person #32028,462,1541,151,1,678,79,76,534,297
Person #32033,408,1316,118,1,811,55,67,511,286
Person #32036,324,1366,130,2,599,56,65,502,268
Person #32039,322,1374,143,2,644,59,65,505,264
Person #32042,312,1381,138,2,588,60,64,531,263
Person #32045,294,1305,109,2,578,50,60,533,262
Person #32048,332,1361,136,2,580,57,66,543,267
Person #32050,483,1468,152,2,732,61,70,528,316
Person #32053,267,1337,111,2,518,58,62,497,232
Person #32056,305,1335,136,2,576,60,65,521,259
Person #32059,576,1554,144,2,799,70,67,524,326
Person #32062,304,1361,151,2,602,55,64,511,258
Person #32065,319,1388,113,2,653,61,63,520,253
Person #33014,392,1546,172,1,602,71,77,543,259
Person #33027,315,1382,126,1,604,60,65,541,257
Person #33030,303,1391,118,1,577,66,74,516,232
Person #33036,395,1422,136,1,635,66,76,550,292
Person #33038,363,1426,135,2,581,57,68,530,293
Person #33041,334,1485,127,2,571,62,71,541,260
Person #33044,365,1411,127,2,620,61,70,530,283
Person #33047,270,1305,103,2,570,58,64,535,234
Person #33050,261,1306,114,2,552,51,60,522,228
