GPA,HSGPA,SATV,SATM,SEX,HU,SS,NS,Major
2.46,3.07,660,570,0,1,0,0,HU
2.46,3.4,480,540,0,1,0,0,HU
2.48,3.75,640,700,1,0,0,1,NS
2.49,3.79,660,560,1,1,0,0,HU
2.5,3.59,560,610,0,1,0,0,HU
2.5,2.34,710,710,1,1,0,0,HU
2.51,3.48,480,620,1,0,0,1,NS
2.51,3.5,560,670,0,0,0,1,NS
2.51,3.03,610,590,0,0,0,1,NS
2.52,3.55,670,660,0,0,1,0,SS
2.52,3.38,610,710,1,1,0,0,HU
2.52,3.19,580,650,1,0,1,0,SS
2.52,2.76,560,620,0,0,0,1,NS
2.53,3.07,640,640,0,0,1,0,SS
2.53,3.19,660,640,1,0,1,0,SS
2.53,2.72,550,590,0,0,1,0,SS
2.53,3,670,740,0,1,0,0,HU
2.54,3.25,730,740,0,0,0,1,NS
2.54,2.46,550,560,1,0,1,0,SS
2.54,3.72,480,700,1,0,0,1,NS
2.55,2.78,520,610,1,0,1,0,SS
2.56,3.76,600,670,0,1,0,0,HU
2.56,3.28,620,690,1,0,1,0,SS
2.56,3.05,620,680,0,1,0,0,HU
2.56,3.52,690,740,1,0,0,1,NS
2.56,3.96,620,680,0,0,0,1,NS
2.57,2.5,700,570,1,0,1,0,SS
2.57,3.37,640,590,0,1,0,0,HU
2.57,2.83,580,600,1,1,0,0,HU
2.58,3.38,710,750,1,1,0,0,HU
2.58,3.38,500,430,0,0,0,1,NS
2.58,3.7,520,650,1,0,1,0,SS
2.58,2.75,470,470,1,0,1,0,SS
2.58,2.83,630,730,1,1,0,0,HU
2.59,3.59,580,550,0,0,1,0,SS
2.59,3.18,490,540,0,1,0,0,HU
2.59,3.58,600,490,0,0,1,0,SS
2.59,2.55,680,580,1,1,0,0,HU
2.6,3.97,680,730,0,0,0,1,NS
2.6,2.77,590,580,0,1,0,0,HU
2.6,3.31,630,680,1,0,0,1,NS
2.61,3.71,600,650,1,0,0,1,NS
2.61,2.82,570,650,0,1,0,0,HU
2.62,3.68,520,760,1,0,0,1,NS
2.62,3.75,580,650,1,0,1,0,SS
2.62,2.91,610,710,1,0,0,1,NS
2.63,3.65,600,580,0,0,1,0,SS
2.63,3.63,430,580,0,1,0,0,HU
2.63,3,620,550,0,1,0,0,HU
2.63,3.14,400,430,0,0,0,1,NS
2.64,3.53,660,550,0,1,0,0,HU
2.64,3.06,620,560,1,0,1,0,SS
2.64,3.4,650,650,1,0,1,0,SS
2.64,2.75,520,630,0,1,0,0,HU
2.65,3.68,600,690,0,0,0,1,NS
2.65,3.2,570,630,1,0,0,1,NS
2.67,3.48,530,490,0,1,0,0,HU
2.67,3.03,690,530,0,0,0,1,NS
2.67,3.4,310,440,0,0,1,0,SS
2.67,3.2,520,510,0,1,0,0,HU
2.67,3.81,630,550,0,0,0,1,NS
2.68,3.75,530,660,0,0,0,1,NS
2.68,3.76,580,630,1,1,0,0,HU
2.69,4,560,620,0,0,0,1,NS
2.69,3.02,450,510,1,1,0,0,HU
2.69,3.59,510,610,0,1,0,0,HU
2.69,2.84,560,660,1,1,0,0,HU
2.7,2.69,580,520,0,0,1,0,SS
2.7,3.6,640,730,0,1,0,0,HU
2.7,3.23,540,480,0,1,0,0,HU
2.71,2.92,720,560,1,1,0,0,HU
2.72,3.44,550,570,0,1,0,0,HU
2.72,3.23,510,540,1,0,0,1,NS
2.72,3.6,730,700,1,0,0,1,NS
2.73,3.6,590,570,1,1,0,0,HU
2.73,2.95,530,690,1,1,0,0,HU
2.73,2.81,680,600,0,1,0,0,HU
2.74,3.4,510,610,0,1,0,0,HU
2.74,3.02,600,550,0,1,0,0,HU
2.74,3.45,610,700,0,0,0,1,NS
2.74,3.8,710,710,0,1,0,0,HU
2.74,3.51,680,620,0,1,0,0,HU
2.75,3,440,650,1,1,0,0,HU
2.75,2.98,630,780,1,0,0,1,NS
2.75,3.36,520,540,0,1,0,0,HU
2.75,3.5,650,710,0,0,0,1,NS
2.76,3.55,590,600,0,0,1,0,SS
2.76,2.9,730,620,1,1,0,0,HU
2.76,3.76,540,590,0,0,1,0,SS
2.77,2.78,540,740,0,0,1,0,SS
2.77,3.5,660,560,0,1,0,0,HU
2.77,3.5,710,660,1,1,0,0,HU
2.78,3.41,560,670,1,1,0,0,HU
2.78,3.08,550,540,0,1,0,0,HU
2.79,2.47,700,670,0,1,0,0,HU
2.79,3.73,610,550,0,1,0,0,HU
2.79,3.6,580,560,0,1,0,0,HU
2.8,3.49,490,670,0,1,0,0,HU
2.8,3.48,460,600,1,1,0,0,HU
2.8,3,640,630,0,0,1,0,SS
2.8,3.39,590,640,0,0,1,0,SS
2.8,3.4,680,590,1,0,1,0,SS
2.81,3.59,580,630,1,1,0,0,HU
2.81,3.61,720,760,0,0,1,0,SS
2.81,3.54,510,520,0,1,0,0,HU
2.81,2.98,570,610,0,1,0,0,HU
2.82,3.8,740,720,1,0,0,1,NS
2.83,3.84,630,590,0,0,0,1,NS
2.83,3.46,610,570,1,1,0,0,HU
2.83,3.65,640,710,1,0,1,0,SS
2.83,3.39,630,690,0,1,0,0,HU
2.83,3.55,520,640,1,0,0,1,NS
2.83,3.1,570,620,0,1,0,0,HU
2.84,3.83,660,700,1,0,0,1,NS
2.84,3.76,540,630,0,0,0,1,NS
2.84,3.9,700,650,0,0,0,1,NS
2.84,3.69,680,590,1,1,0,0,HU
2.84,3.73,710,660,0,0,0,1,NS
2.85,3.37,630,620,0,0,1,0,SS
2.85,3.75,610,600,0,0,0,1,NS
2.85,3.94,650,640,1,0,0,1,NS
2.86,3.76,660,650,0,0,0,1,NS
2.86,3.29,730,580,0,1,0,0,HU
2.87,3.52,590,710,0,1,0,0,HU
2.87,3.41,640,610,0,0,1,0,SS
2.87,3.6,390,570,0,0,0,1,NS
2.87,2.76,570,710,1,0,1,0,SS
2.88,3.1,700,500,0,1,0,0,HU
2.88,3.83,700,700,1,0,0,1,NS
2.88,3.17,670,640,0,0,0,1,NS
2.88,3.58,680,740,0,1,0,0,HU
2.88,3.65,640,540,1,1,0,0,HU
2.89,3.62,510,590,0,0,1,0,SS
2.89,3.79,640,670,1,0,0,1,NS
2.89,3.63,470,650,0,0,0,1,NS
2.89,3.19,610,580,1,1,0,0,HU
2.89,2.78,590,760,1,1,0,0,HU
2.89,3.39,540,590,0,1,0,0,HU
2.9,3.74,660,640,0,0,1,0,SS
2.9,3.22,680,610,1,0,1,0,SS
2.9,3.19,710,630,1,0,1,0,SS
2.9,3.31,660,720,1,0,0,1,NS
2.9,3.03,590,590,0,1,0,0,HU
2.9,3.94,630,670,1,0,1,0,SS
2.9,3.92,570,690,0,1,0,0,HU
2.91,3.86,660,590,0,1,0,0,HU
2.91,2.79,580,550,1,1,0,0,HU
2.91,3.36,580,660,0,1,0,0,HU
2.91,2.9,520,510,1,0,1,0,SS
2.91,3.5,480,500,0,0,1,0,SS
2.91,3.85,530,500,0,1,0,0,HU
2.92,4,550,570,0,0,0,1,NS
2.92,3.25,650,510,0,1,0,0,HU
2.93,3.34,740,520,0,1,0,0,HU
2.94,3.18,570,530,0,1,0,0,HU
2.94,3.59,570,660,0,0,1,0,SS
2.95,3.25,600,570,0,1,0,0,HU
2.95,3.71,550,660,0,1,0,0,HU
2.95,3.36,670,650,1,0,0,1,NS
2.95,3.44,700,710,0,0,0,1,NS
2.95,3.59,630,630,1,1,0,0,HU
2.95,2.62,660,560,1,0,1,0,SS
2.95,3.41,570,530,1,1,0,0,HU
2.95,2.85,670,580,0,0,0,1,NS
2.96,3.37,640,670,0,0,1,0,SS
2.96,3.17,590,600,0,0,0,1,NS
2.96,3.26,490,640,0,1,0,0,HU
2.96,3.2,540,780,1,1,0,0,HU
2.97,3.57,650,660,0,0,0,1,NS
2.97,3.33,620,620,0,1,0,0,HU
2.97,3.39,540,600,0,1,0,0,HU
2.97,3.28,700,520,0,1,0,0,HU
2.97,3.09,570,590,1,0,1,0,SS
2.97,2.54,650,620,0,1,0,0,HU
2.98,2.5,550,540,1,1,0,0,HU
2.98,3.04,490,460,0,0,1,0,SS
2.98,3.19,510,660,1,1,0,0,HU
2.99,3.42,650,720,1,0,0,1,NS
2.99,2.98,580,620,0,1,0,0,HU
2.99,3.4,520,510,0,0,0,1,NS
3,4,620,620,0,1,0,0,HU
3,3.72,650,660,0,1,0,0,HU
3,3.75,670,700,0,1,0,0,HU
3,2.8,530,700,0,1,0,0,HU
3,3.7,620,740,1,0,1,0,SS
3,2.55,490,560,1,1,0,0,HU
3,3,620,470,0,0,1,0,SS
3,3.82,500,560,0,1,0,0,HU
3,2.95,500,500,0,1,0,0,HU
3,2.94,430,520,1,0,1,0,SS
3.01,3.8,590,610,0,1,0,0,HU
3.01,3.73,690,580,0,1,0,0,HU
3.01,2.94,540,580,1,1,0,0,HU
3.01,3.6,660,600,0,1,0,0,HU
3.02,3.71,540,660,0,0,0,1,NS
3.02,3.57,600,600,1,1,0,0,HU
3.02,2.76,520,670,1,1,0,0,HU
3.03,3.01,520,590,0,1,0,0,HU
3.03,3.28,680,620,0,1,0,0,HU
3.03,3.61,690,620,1,1,0,0,HU
3.03,3.65,450,620,0,1,0,0,HU
3.03,3.46,600,600,0,1,0,0,HU
3.03,3.14,530,660,1,0,1,0,SS
3.04,3.54,610,750,1,0,0,1,NS
3.05,3.33,550,570,0,0,1,0,SS
3.05,3.48,620,620,0,1,0,0,HU
3.05,3.41,680,750,0,0,0,1,NS
3.06,3.83,680,770,1,0,0,1,NS
3.06,3.27,640,560,0,1,0,0,HU
3.06,3.2,660,650,0,1,0,0,HU
3.06,3.2,590,590,0,1,0,0,HU
3.06,3.33,390,530,0,1,0,0,HU
3.06,3.46,650,600,1,0,0,1,NS
3.06,3.35,590,580,0,0,0,1,NS
3.06,3.12,560,730,1,0,1,0,SS
3.07,3.9,600,720,0,0,0,1,NS
3.07,3.72,700,720,0,0,1,0,SS
3.07,3.9,570,550,0,0,1,0,SS
3.07,3.38,720,750,1,1,0,0,HU
3.07,3.74,640,550,0,1,0,0,HU
3.07,3.1,670,550,0,1,0,0,HU
3.08,3.62,640,520,0,1,0,0,HU
3.08,3.5,500,630,1,0,0,1,NS
3.08,2.8,560,670,0,0,1,0,SS
3.09,3.33,670,760,0,1,0,0,HU
3.09,2.83,590,740,1,1,0,0,HU
3.09,3.25,630,620,1,1,0,0,HU
3.1,3.17,500,680,0,1,0,0,HU
3.1,3.4,690,490,0,1,0,0,HU
3.1,3.04,620,590,1,0,1,0,SS
3.11,3.17,680,650,0,0,0,1,NS
3.11,4,670,640,1,0,0,1,NS
3.11,3.94,620,640,1,1,0,0,HU
3.11,3.58,660,540,0,1,0,0,HU
3.11,3.9,710,650,1,1,0,0,HU
3.11,3.18,610,570,1,1,0,0,HU
3.11,3.42,560,730,1,1,0,0,HU
3.11,3.94,610,690,1,1,0,0,HU
3.11,3.86,610,580,0,1,0,0,HU
3.11,3.67,540,670,1,1,0,0,HU
3.12,2.72,500,610,0,1,0,0,HU
3.12,3.87,620,690,1,1,0,0,HU
3.12,3.9,680,590,0,1,0,0,HU
3.12,3.25,650,640,0,0,0,1,NS
3.13,3.55,540,580,0,1,0,0,HU
3.13,3.2,610,650,1,1,0,0,HU
3.13,3.6,660,710,1,0,0,1,NS
3.13,3.07,720,620,1,1,0,0,HU
3.13,3.41,700,690,1,0,1,0,SS
3.14,3.2,530,660,0,1,0,0,HU
3.14,2.97,570,610,1,1,0,0,HU
3.14,2.85,490,530,0,1,0,0,HU
3.14,3.71,580,660,1,0,1,0,SS
3.15,3.32,650,620,0,0,1,0,SS
3.15,3.1,620,470,0,0,0,1,NS
3.15,3.3,720,580,0,1,0,0,HU
3.16,3.83,580,640,1,0,1,0,SS
3.16,3.65,620,720,0,1,0,0,HU
3.16,3.96,540,650,1,1,0,0,HU
3.16,3.61,570,550,0,1,0,0,HU
3.16,3.79,630,670,1,1,0,0,HU
3.16,3.67,640,690,1,1,0,0,HU
3.16,3.58,630,620,1,1,0,0,HU
3.17,3.55,580,690,0,1,0,0,HU
3.17,3.33,570,560,0,1,0,0,HU
3.17,3.49,710,700,0,0,0,1,NS
3.17,3.48,660,710,1,0,1,0,SS
3.17,3.3,530,620,1,1,0,0,HU
3.17,3.83,500,620,0,1,0,0,HU
3.17,4,430,600,1,0,0,1,NS
3.17,3.64,550,720,0,1,0,0,HU
3.18,3.48,630,670,0,1,0,0,HU
3.18,3.8,670,640,0,1,0,0,HU
3.18,2.76,660,710,1,0,0,1,NS
3.18,3.44,460,600,1,0,0,1,NS
3.18,2.6,560,520,0,0,1,0,SS
3.19,3.29,630,620,0,0,1,0,SS
3.19,3.1,620,460,1,1,0,0,HU
3.19,3.72,610,660,0,1,0,0,HU
3.19,2.96,600,660,0,0,0,1,NS
3.19,3.53,670,670,0,1,0,0,HU
3.2,3.67,660,590,0,0,1,0,SS
3.2,3.25,590,670,0,0,1,0,SS
3.2,2.5,550,590,0,1,0,0,HU
3.2,3.27,530,530,0,1,0,0,HU
3.2,3.75,540,520,0,0,1,0,SS
3.2,3.28,570,480,0,1,0,0,HU
3.21,3.9,680,590,0,1,0,0,HU
3.21,3.51,740,700,0,1,0,0,HU
3.21,2.9,430,400,0,0,0,1,NS
3.21,3.8,450,560,1,0,1,0,SS
3.21,2.97,480,590,0,1,0,0,HU
3.21,3.51,640,540,0,1,0,0,HU
3.21,3.53,610,770,1,1,0,0,HU
3.22,3.92,550,570,0,0,0,1,NS
3.22,3.81,540,630,0,0,1,0,SS
3.23,3.54,680,500,0,1,0,0,HU
3.23,3.86,550,510,0,0,1,0,SS
3.23,3.41,680,650,1,0,1,0,SS
3.23,3.91,600,680,0,1,0,0,HU
3.23,3,640,700,1,1,0,0,HU
3.24,3.65,620,620,0,0,1,0,SS
3.24,3.2,620,620,0,1,0,0,HU
3.24,3.54,710,720,1,0,0,1,NS
3.24,3.48,480,530,0,1,0,0,HU
3.24,3.26,500,630,1,0,1,0,SS
3.25,3.53,380,470,0,1,0,0,HU
3.25,3.11,710,630,1,1,0,0,HU
3.25,2.66,520,550,1,1,0,0,HU
3.25,3.25,590,530,0,0,1,0,SS
3.26,3.78,710,690,1,0,1,0,SS
3.26,3.38,690,680,0,0,0,1,NS
3.26,2.5,600,640,0,1,0,0,HU
3.26,3.01,670,680,1,1,0,0,HU
3.26,2.96,440,440,1,0,1,0,SS
3.27,3.3,720,760,1,1,0,0,HU
3.27,3.46,590,550,1,0,0,1,NS
3.27,4,560,690,0,0,0,1,NS
3.27,3.23,600,640,0,0,1,0,SS
3.27,3.75,560,520,1,1,0,0,HU
3.27,3.56,590,670,0,0,0,1,NS
3.28,2.8,610,640,0,0,1,0,SS
3.28,3.53,540,610,1,1,0,0,HU
3.28,3.92,620,610,0,0,0,1,NS
3.28,4,720,660,0,1,0,0,HU
3.28,3.6,690,600,0,1,0,0,HU
3.28,3.88,670,610,1,0,0,1,NS
3.29,3.65,720,660,0,1,0,0,HU
3.29,3.95,660,670,0,0,0,1,NS
3.29,3.89,590,580,0,0,1,0,SS
3.29,3.59,610,610,0,0,0,1,NS
3.29,3.97,690,570,0,0,0,1,NS
3.29,3.6,480,600,0,0,1,0,SS
3.29,3.69,700,680,0,0,0,1,NS
3.29,3.37,590,720,0,0,1,0,SS
3.3,3.14,600,600,0,1,0,0,HU
3.3,3.32,620,600,0,1,0,0,HU
3.3,3.5,580,620,0,0,1,0,SS
3.31,3.86,650,660,0,0,0,1,NS
3.31,3.9,600,700,1,0,0,1,NS
3.31,3.77,520,630,0,0,0,1,NS
3.31,3.71,650,600,0,1,0,0,HU
3.31,3.73,540,670,0,1,0,0,HU
3.31,3.33,580,670,1,1,0,0,HU
3.31,3.52,560,620,1,0,1,0,SS
3.31,3.54,680,660,1,0,0,1,NS
3.32,3.58,670,750,0,1,0,0,HU
3.32,3.07,620,680,1,0,1,0,SS
3.32,3.6,710,640,0,1,0,0,HU
3.32,3.87,660,590,0,1,0,0,HU
3.32,3.81,570,650,1,1,0,0,HU
3.32,3.3,590,690,1,0,0,1,NS
3.33,3.78,640,670,1,1,0,0,HU
3.33,2.99,670,560,0,1,0,0,HU
3.33,3.71,610,640,0,1,0,0,HU
3.33,3.83,540,560,0,0,0,1,NS
3.33,3.7,610,660,0,1,0,0,HU
3.33,3.79,620,580,0,0,0,1,NS
3.33,3.25,620,670,1,1,0,0,HU
3.33,3.45,600,650,1,1,0,0,HU
3.34,3.89,570,730,1,1,0,0,HU
3.34,3.09,630,610,0,0,1,0,SS
3.34,3.68,650,660,0,0,0,1,NS
3.34,3.76,510,650,0,1,0,0,HU
3.34,3.36,610,680,0,0,0,1,NS
3.35,3.68,640,720,1,1,0,0,HU
3.35,3.6,560,680,1,0,1,0,SS
3.35,3.53,530,500,0,1,0,0,HU
3.35,3.11,610,610,0,1,0,0,HU
3.35,3.38,590,640,0,1,0,0,HU
3.36,3.07,670,640,0,1,0,0,HU
3.36,3.56,530,740,1,0,0,1,NS
3.36,3.89,590,650,0,1,0,0,HU
3.36,3.4,710,660,0,0,1,0,SS
3.37,3.9,640,650,1,1,0,0,HU
3.38,3.7,510,740,0,1,0,0,HU
3.38,3.66,770,670,0,1,0,0,HU
3.38,3.5,650,620,0,1,0,0,HU
3.39,3.58,560,740,1,0,0,1,NS
3.39,3.22,550,550,0,1,0,0,HU
3.39,3.58,560,600,0,1,0,0,HU
3.39,3.45,540,670,0,1,0,0,HU
3.4,3.2,630,770,1,0,1,0,SS
3.4,3.99,710,610,0,1,0,0,HU
3.41,3.7,640,570,0,1,0,0,HU
3.41,3.28,640,630,0,0,0,1,NS
3.41,3.83,640,780,1,1,0,0,HU
3.41,3.52,520,580,0,1,0,0,HU
3.41,3.6,610,650,0,1,0,0,HU
3.41,3.3,700,760,1,0,1,0,SS
3.41,3.68,520,500,1,0,0,1,NS
3.41,3.28,670,700,0,1,0,0,HU
3.42,3.76,690,670,0,0,1,0,SS
3.42,3.05,530,570,0,1,0,0,HU
3.42,3.4,530,680,1,1,0,0,HU
3.42,4,650,600,0,1,0,0,HU
3.42,3.65,690,590,1,1,0,0,HU
3.42,3.21,640,740,1,1,0,0,HU
3.43,2.98,680,640,0,0,0,1,NS
3.43,3.36,660,640,1,1,0,0,HU
3.43,3.12,640,660,1,0,0,1,NS
3.43,2.9,730,610,0,1,0,0,HU
3.43,3.33,650,710,1,0,0,1,NS
3.43,3.71,680,650,0,1,0,0,HU
3.43,3.54,680,680,0,1,0,0,HU
3.44,3.85,650,580,0,1,0,0,HU
3.44,3.33,620,680,1,0,0,1,NS
3.44,3.7,700,630,0,1,0,0,HU
3.44,3.1,570,740,1,0,0,1,NS
3.44,3.37,700,660,1,0,0,1,NS
3.44,3.4,680,600,0,1,0,0,HU
3.45,3.4,640,640,0,1,0,0,HU
3.45,3.07,650,730,0,1,0,0,HU
3.45,3.34,680,680,1,1,0,0,HU
3.45,3.55,630,710,0,0,0,1,NS
3.45,3.68,690,780,1,0,0,1,NS
3.45,3.85,610,670,1,0,1,0,SS
3.46,3.66,620,660,0,1,0,0,HU
3.46,3.5,700,670,1,0,1,0,SS
3.46,3.6,590,630,1,1,0,0,HU
3.47,3.7,630,620,0,1,0,0,HU
3.47,2.97,600,640,1,1,0,0,HU
3.47,3.75,560,700,1,1,0,0,HU
3.47,3.29,610,680,0,1,0,0,HU
3.47,3.45,610,590,0,1,0,0,HU
3.48,3.83,610,610,0,1,0,0,HU
3.48,4,490,580,0,1,0,0,HU
3.48,3.4,690,720,0,1,0,0,HU
3.48,3.95,590,610,0,0,0,1,NS
3.48,3.81,530,720,1,0,1,0,SS
3.49,3.68,570,670,0,1,0,0,HU
3.49,3.7,680,670,0,1,0,0,HU
3.49,3.84,640,760,1,1,0,0,HU
3.49,4,610,580,0,0,0,1,NS
3.49,3.53,590,750,1,0,0,1,NS
3.49,3.88,580,720,0,0,0,1,NS
3.49,3.74,620,580,0,1,0,0,HU
3.49,3.71,680,600,0,0,1,0,SS
3.5,3.8,670,650,0,1,0,0,HU
3.5,3.95,690,590,0,0,1,0,SS
3.51,3.65,620,720,0,0,1,0,SS
3.51,3.7,570,640,1,1,0,0,HU
3.51,3.83,720,590,0,0,1,0,SS
3.51,3.51,630,720,1,0,1,0,SS
3.51,3.64,700,760,1,1,0,0,HU
3.51,3.12,470,530,1,1,0,0,HU
3.52,3.86,580,630,0,1,0,0,HU
3.52,3.25,600,530,0,1,0,0,HU
3.52,3.42,610,570,0,1,0,0,HU
3.52,3,460,480,0,1,0,0,HU
3.52,3.79,510,580,0,1,0,0,HU
3.52,3.83,680,610,0,1,0,0,HU
3.52,3.22,610,670,1,0,1,0,SS
3.52,3.71,670,730,1,1,0,0,HU
3.52,3.65,610,550,0,1,0,0,HU
3.53,3.47,580,690,0,0,0,1,NS
3.53,3.99,610,630,0,1,0,0,HU
3.53,3.8,550,550,0,1,0,0,HU
3.53,3.65,590,560,1,1,0,0,HU
3.54,3.77,720,660,1,0,0,1,NS
3.54,3.83,620,670,1,1,0,0,HU
3.55,3.94,630,580,0,1,0,0,HU
3.55,3.74,670,570,0,0,1,0,SS
3.55,3.18,690,760,0,0,1,0,SS
3.56,3.65,580,580,0,1,0,0,HU
3.56,3.6,690,710,1,0,1,0,SS
3.56,3.74,560,640,1,1,0,0,HU
3.56,3.27,690,600,0,1,0,0,HU
3.56,3.83,640,690,0,1,0,0,HU
3.56,4,520,680,0,0,0,1,NS
3.56,2.75,530,560,0,1,0,0,HU
3.56,3.16,580,700,1,0,1,0,SS
3.57,3.06,680,690,1,1,0,0,HU
3.57,3.62,670,700,1,1,0,0,HU
3.57,3.23,640,720,1,1,0,0,HU
3.57,3.76,540,600,0,0,1,0,SS
3.58,3.88,590,540,0,0,1,0,SS
3.59,4,640,800,1,1,0,0,HU
3.59,4,620,570,1,1,0,0,HU
3.59,3.48,650,680,1,0,0,1,NS
3.59,3.41,670,730,1,0,0,1,NS
3.6,3.79,710,630,0,0,1,0,SS
3.6,3.81,600,580,0,0,0,1,NS
3.6,3.84,520,620,0,1,0,0,HU
3.61,3.95,590,640,1,1,0,0,HU
3.61,3.46,680,720,1,1,0,0,HU
3.62,3.38,650,610,1,0,1,0,SS
3.62,3.92,620,590,1,0,1,0,SS
3.62,3.89,520,580,1,1,0,0,HU
3.63,3.71,680,630,0,1,0,0,HU
3.63,2.94,630,490,1,1,0,0,HU
3.63,3.25,610,560,0,1,0,0,HU
3.63,3.62,600,630,1,0,0,1,NS
3.63,3.76,610,690,0,1,0,0,HU
3.64,3.41,580,640,0,1,0,0,HU
3.65,3.94,730,640,0,1,0,0,HU
3.66,3.65,660,640,0,0,1,0,SS
3.66,3.7,680,740,0,1,0,0,HU
3.66,3.78,720,630,1,1,0,0,HU
3.66,3.4,590,690,1,1,0,0,HU
3.67,3.36,630,560,0,0,1,0,SS
3.67,3.89,660,640,0,1,0,0,HU
3.67,3.98,720,680,0,1,0,0,HU
3.67,3.07,520,560,0,1,0,0,HU
3.67,4,690,750,0,1,0,0,HU
3.67,3.86,650,630,0,1,0,0,HU
3.67,3.53,690,720,0,1,0,0,HU
3.68,3.9,690,600,0,1,0,0,HU
3.68,3.73,660,590,0,1,0,0,HU
3.68,3.1,640,680,1,0,0,1,NS
3.68,4,640,700,0,1,0,0,HU
3.69,3.79,660,710,0,1,0,0,HU
3.69,3.88,720,730,0,1,0,0,HU
3.69,3.71,760,580,0,1,0,0,HU
3.69,3.94,650,650,0,1,0,0,HU
3.69,3.04,710,690,1,1,0,0,HU
3.7,3.18,670,640,0,0,0,1,NS
3.71,4,570,530,0,1,0,0,HU
3.72,3.9,740,760,0,1,0,0,HU
3.72,3.66,640,710,1,1,0,0,HU
3.72,3.87,690,750,1,0,0,1,NS
3.73,3.79,580,610,0,1,0,0,HU
3.73,3.39,590,630,1,0,1,0,SS
3.74,4,580,690,0,1,0,0,HU
3.75,3.18,580,650,1,0,0,1,NS
3.75,3.24,690,580,1,1,0,0,HU
3.76,3.64,630,730,1,0,1,0,SS
3.77,3.8,520,600,0,0,1,0,SS
3.77,3.84,620,670,0,1,0,0,HU
3.78,3.98,720,730,1,0,0,1,NS
3.79,3.9,670,690,1,0,0,1,NS
3.79,3.99,640,670,1,1,0,0,HU
3.79,4,610,640,1,1,0,0,HU
3.8,3.88,630,630,0,1,0,0,HU
3.8,3.7,610,670,1,0,0,1,NS
3.82,3.35,660,730,1,1,0,0,HU
3.82,3.73,650,770,0,1,0,0,HU
3.82,3.9,640,720,0,1,0,0,HU
3.83,4,720,690,0,1,0,0,HU
3.83,3.73,660,630,1,1,0,0,HU
3.83,3.85,690,700,0,1,0,0,HU
3.85,3.81,680,740,1,1,0,0,HU
3.87,3.86,720,610,0,1,0,0,HU
3.87,3.9,700,800,1,1,0,0,HU
3.88,3.71,710,720,0,1,0,0,HU
3.88,3.6,630,640,1,1,0,0,HU
3.89,4,740,800,1,0,0,1,NS
3.9,4,710,750,1,1,0,0,HU
3.91,3.63,730,610,1,1,0,0,HU
3.94,3.59,580,740,1,0,0,1,NS
3.97,3.67,590,620,1,0,0,1,NS
3.97,3.8,660,580,0,1,0,0,HU
3.97,3.75,480,550,0,0,0,1,NS
3.98,3.97,660,680,1,1,0,0,HU
3.98,4,680,730,0,1,0,0,HU
4,4,450,640,1,1,0,0,HU
4.15,4,740,720,0,0,0,1,NS
